	Tier 1	Tier 2	Tier 3	Tier 4	SUM
lvl 0:	 90	  7	  2	  1	100
lvl 1:	 90	 10	  3	  1	104
lvl 2:	 89	 14	  3	  2	109
lvl 3:	 89	 19	  4	  2	115
lvl 4:	 88	 26	  6	  3	123
lvl 5:	 87	 33	  7	  4	132
lvl 6:	 86	 42	  9	  5	142
lvl 7:	 85	 51	 11	  6	153
lvl 8:	 83	 60	 14	  8	165
lvl 9:	 81	 69	 17	 10	177
lvl 10:	 79	 77	 20	 12	188
lvl 11:	 76	 83	 24	 15	199
lvl 12:	 73	 88	 28	 18	207
lvl 13:	 69	 90	 33	 22	214
lvl 14:	 65	 89	 38	 27	219
lvl 15:	 60	 86	 43	 31	221
lvl 16:	 54	 81	 49	 37	221
lvl 17:	 49	 74	 55	 42	220
lvl 18:	 43	 66	 60	 48	217
lvl 19:	 38	 57	 66	 53	214
lvl 20:	 32	 48	 71	 59	210
lvl 21:	 28	 39	 76	 64	206
lvl 22:	 23	 31	 80	 68	202
lvl 23:	 19	 24	 84	 72	198
lvl 24:	 16	 18	 87	 75	195
lvl 25:	 13	 13	 89	 78	193
lvl 26:	 11	  9	 90	 80	190
lvl 27:	  9	  6	 90	 82	187
lvl 28:	  7	  4	 89	 84	184
lvl 29:	  6	  3	 87	 85	181
lvl 30:	  5	  2	 85	 86	178
lvl 31:	  4	  1	 81	 87	174
lvl 32:	  3	  1	 77	 88	169
lvl 33:	  3	  0	 73	 88	164
lvl 34:	  3	  0	 67	 89	159
lvl 35:	  2	  0	 62	 89	153
lvl 36:	  2	  0	 56	 89	148
lvl 37:	  2	  0	 51	 89	142
lvl 38:	  2	  0	 45	 89	136
lvl 39:	  2	  0	 40	 90	131
lvl 40:	  1	  0	 35	 90	126
lvl 41:	  1	  0	 30	 90	121
lvl 42:	  1	  0	 26	 90	117
lvl 43:	  1	  0	 22	 90	113
lvl 44:	  1	  0	 18	 90	109
lvl 45:	  1	  0	 15	 90	106
lvl 46:	  1	  0	 12	 90	103
lvl 47:	  1	  0	 10	 90	101
lvl 48:	  1	  0	  8	 90	 99
lvl 49:	  1	  0	  6	 90	 97
